RVOL,Target%,Stop%,MaxHold,Trades,WinRate,AvgWin,AvgLoss,FinalEquity,PnL%,Interval
2.5,0.01,-0.003,45,5,80.0,0.9360145342150091,-0.21767579821181052,103567.82896249183,3.567828962491825,30m
2.5,0.008,-0.003,45,5,80.0,0.9360145342150091,-0.21767579821181052,103567.82896249183,3.567828962491825,30m
2.5,0.008,-0.005,45,5,80.0,0.9360145342150091,-0.21767579821181052,103567.82896249183,3.567828962491825,30m
2.5,0.008,-0.007,45,5,80.0,0.9360145342150091,-0.21767579821181052,103567.82896249183,3.567828962491825,30m
2.5,0.01,-0.007,45,5,80.0,0.9360145342150091,-0.21767579821181052,103567.82896249183,3.567828962491825,30m
2.5,0.01,-0.005,45,5,80.0,0.9360145342150091,-0.21767579821181052,103567.82896249183,3.567828962491825,30m
2.5,0.005,-0.003,45,5,80.0,0.7891923984484853,-0.21767579821181052,102966.84127662003,2.9668412766200345,30m
2.5,0.005,-0.005,45,5,80.0,0.7891923984484853,-0.21767579821181052,102966.84127662003,2.9668412766200345,30m
2.5,0.005,-0.007,45,5,80.0,0.7891923984484853,-0.21767579821181052,102966.84127662003,2.9668412766200345,30m
2.5,0.008,-0.005,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.005,-0.003,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.005,-0.007,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.008,-0.003,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.005,-0.007,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.008,-0.007,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.008,-0.003,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.01,-0.005,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.01,-0.005,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.008,-0.007,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.01,-0.007,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.01,-0.007,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.005,-0.005,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.008,-0.005,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.01,-0.003,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.005,-0.005,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.005,-0.003,30,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
2.5,0.01,-0.003,15,5,100.0,0.46623485590323205,0.0,102347.66839921437,2.347668399214366,30m
3.5,0.01,-0.007,45,6,50.0,1.0133433796677411,-0.43235865388355765,101732.9088373169,1.732908837316907,15m
3.5,0.01,-0.005,45,6,50.0,1.0133433796677411,-0.4688840621064388,101620.9872453118,1.6209872453118006,15m
3.5,0.01,-0.003,45,6,50.0,1.0133433796677411,-0.5306117902451353,101432.57135701604,1.432571357016044,15m
3.0,0.005,-0.003,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.005,-0.005,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.008,-0.007,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.008,-0.003,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.005,-0.007,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.01,-0.003,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.008,-0.005,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.008,-0.007,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.005,-0.007,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.005,-0.005,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.01,-0.007,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.01,-0.005,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.01,-0.003,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.008,-0.003,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.5,0.005,-0.003,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.01,-0.007,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.01,-0.005,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
3.0,0.008,-0.005,45,1,100.0,0.9622384367457752,0.0,100962.23843674577,0.9622384367457708,30m
2.5,0.005,-0.007,45,10,60.0,0.6547506121889171,-0.7783034517663693,100793.31433622939,0.7933143362293923,5m
2.5,0.005,-0.007,30,10,60.0,0.6547506121889171,-0.7783034517663693,100793.31433622939,0.7933143362293923,5m
3.5,0.005,-0.007,45,6,50.0,0.6341608490528023,-0.43235865388355765,100595.41542846938,0.5954154284693796,15m
3.5,0.008,-0.007,45,6,50.0,0.6341608490528023,-0.43235865388355765,100595.41542846938,0.5954154284693796,15m
3.5,0.008,-0.005,45,6,50.0,0.6341608490528023,-0.4688840621064388,100484.74525131783,0.48474525131782864,15m
3.5,0.005,-0.005,45,6,50.0,0.6341608490528023,-0.4688840621064388,100484.74525131783,0.48474525131782864,15m
2.5,0.01,-0.007,45,10,50.0,0.5216570023684867,-0.5431694484192464,100414.83807389827,0.4148380738982669,15m
2.5,0.005,-0.003,45,10,50.0,0.6563600061771269,-0.5744632402375777,100390.69747748083,0.39069747748083317,5m
2.5,0.005,-0.003,30,10,50.0,0.6563600061771269,-0.5744632402375777,100390.69747748083,0.39069747748083317,5m
2.5,0.005,-0.003,15,10,50.0,0.6563600061771269,-0.5744632402375777,100390.69747748083,0.39069747748083317,5m
3.0,0.01,-0.007,45,8,50.0,0.6314954146857952,-0.5431694484192464,100332.2612586421,0.3322612586421019,15m
3.5,0.005,-0.003,45,6,50.0,0.6341608490528023,-0.5306117902451353,100298.43607395273,0.29843607395273286,15m
3.5,0.008,-0.003,45,6,50.0,0.6341608490528023,-0.5306117902451353,100298.43607395273,0.29843607395273286,15m
3.0,0.005,-0.005,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.008,-0.007,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.008,-0.007,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.005,-0.005,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.005,-0.003,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.005,-0.003,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.01,-0.005,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.01,-0.003,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.01,-0.003,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
