RVOL,Target%,Stop%,MaxHold,Trades,WinRate,AvgWin,AvgLoss,FinalEquity,PnL%
3.5,0.01,-0.007,45,6,50.0,1.0133433796677411,-0.43235865388355765,101732.9088373169,1.732908837316907
3.5,0.01,-0.005,45,6,50.0,1.0133433796677411,-0.4688840621064388,101620.9872453118,1.6209872453118006
3.5,0.01,-0.003,45,6,50.0,1.0133433796677411,-0.5306117902451353,101432.57135701604,1.432571357016044
3.5,0.005,-0.007,45,6,50.0,0.6341608490528023,-0.43235865388355765,100595.41542846938,0.5954154284693796
3.5,0.008,-0.007,45,6,50.0,0.6341608490528023,-0.43235865388355765,100595.41542846938,0.5954154284693796
3.5,0.005,-0.005,45,6,50.0,0.6341608490528023,-0.4688840621064388,100484.74525131783,0.48474525131782864
3.5,0.008,-0.005,45,6,50.0,0.6341608490528023,-0.4688840621064388,100484.74525131783,0.48474525131782864
2.5,0.01,-0.007,45,10,50.0,0.5216570023684867,-0.5431694484192464,100414.83807389827,0.4148380738982669
3.0,0.01,-0.007,45,8,50.0,0.6314954146857952,-0.5431694484192464,100332.2612586421,0.3322612586421019
3.5,0.008,-0.003,45,6,50.0,0.6341608490528023,-0.5306117902451353,100298.43607395273,0.29843607395273286
3.5,0.005,-0.003,45,6,50.0,0.6341608490528023,-0.5306117902451353,100298.43607395273,0.29843607395273286
2.5,0.005,-0.007,45,10,60.0,0.40215972424313495,-0.5431694484192464,100224.94646178275,0.22494646178274708
3.5,0.005,-0.005,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
3.5,0.005,-0.003,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
3.5,0.005,-0.007,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
3.5,0.008,-0.005,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
3.5,0.008,-0.007,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
3.5,0.008,-0.003,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
3.5,0.01,-0.003,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
3.5,0.01,-0.005,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
